"File","Lines","Extension"
".kexC\include\kex_crc32.h","36",".h"
".kexC\examples\minimal.c","17",".c"
".kexC\include\kex_loader.h","87",".h"
".kexC\include\kex_format.h","224",".h"
".kexC\include\kex_api.h","60",".h"
".kexC\examples\hello.c","15",".c"
".kexC\examples\libhello.c","30",".c"
".kexC\examples\test_kxp.c","36",".c"
".kexC\examples\fileio.c","51",".c"
".kexC\examples\utils.c","48",".c"
".kexC\examples\math.c","79",".c"
".kexC\examples\test_debug.c","18",".c"
".kexC\include\kex_compat.h","85",".h"
".kexC\examples\sysinfo.c","207",".c"
".kexC\examples\procmgr.c","165",".c"
".kexC\examples\netstat.c","220",".c"
".kexC\examples\filebrowser.c","233",".c"
".kexC\include\kex_user.h","1367",".h"
".kexC\src\kex.c","3420",".c"
"apps\calculator.c","100",".c"
"apps\calendar.c","109",".c"
"apps\container-os\include\container.h","47",".h"
"apps\container-os\include\image.h","29",".h"
"apps\container-os\include\manager.h","21",".h"
"apps\container-os\include\volume.h","26",".h"
"apps\container-os\src\container.c","107",".c"
"apps\container-os\src\image.c","98",".c"
"apps\container-os\src\manager.c","71",".c"
"apps\container-os\src\volume.c","84",".c"
"apps\file_manager.c","177",".c"
"apps\network_tools.c","107",".c"
"apps\system_tools.c","159",".c"
"apps\terminal.c","280",".c"
"apps\text_editor.c","181",".c"
"apps\text_editor.h","34",".h"
"bin\calculator.c","100",".c"
"bin\calendar.c","109",".c"
"bin\init.c","88",".c"
"bin\network_tools.c","107",".c"
"bin\shell_commands.c","232",".c"
"bin\shell_commands.h","14",".h"
"bin\systemd_init.c","29",".c"
"bin\system_tools.c","159",".c"
"bin\user_apps.h","11",".h"
"bootloader\bootx64.c","845",".c"
"bootloader\efi.h","274",".h"
"bootloader\graphics.c","216",".c"
"bootloader\graphics.h","34",".h"
"bootloader\include\efi.h","320",".h"
"bootloader\include\fbc.h","27",".h"
"bootloader\kenux_boot_art.h","10960",".h"
"bootloader\kernel.c","341",".c"
"bootloader\kernel.h","43",".h"
"bootloader\logger.c","69",".c"
"bootloader\logger.h","22",".h"
"bootloader\main.c","244",".c"
"bootloader\main_simple.c","23",".c"
"bootloader\progress.c","56",".c"
"bootloader\progress.h","20",".h"
"bootloader\serial.c","47",".c"
"bootloader\serial.h","10",".h"
"build.py","738",".py"
"buildsystem\core\model.py","188",".py"
"buildsystem\core\runner.py","756",".py"
"buildsystem\core\state.py","264",".py"
"buildsystem\core\ui.py","112",".py"
"buildsystem\core\__init__.py","20",".py"
"buildsystem\__init__.py","0",".py"
"include\kapi.h","80",".h"
"include\kapi_atomic.h","133",".h"
"include\kapi_bitmap.h","99",".h"
"include\kapi_blkdev.h","83",".h"
"include\kapi_cdev.h","63",".h"
